date,open,high,low,close,volume
2024-01-01,1700.0,1703.02,1698.35,1702.87,2892843.0
2024-01-02,1702.87,1711.45,1697.52,1707.39,2347755.0
2024-01-03,1707.39,1707.57,1705.25,1706.56,4021421.0
2024-01-04,1706.56,1707.76,1695.11,1699.01,4179766.0
2024-01-05,1699.01,1702.55,1689.9,1694.76,2025995.0
2024-01-06,1694.76,1704.65,1692.72,1700.46,2621918.0
2024-01-07,1700.46,1710.75,1699.9,1708.73,2386866.0
2024-01-08,1708.73,1718.76,1703.89,1715.14,4918927.0
2024-01-09,1715.14,1722.1,1712.87,1716.26,4208163.0
2024-01-10,1716.26,1726.07,1711.09,1722.36,4309409.0
2024-01-11,1722.36,1726.61,1720.99,1726.33,3157552.0
2024-01-12,1726.33,1727.73,1719.08,1719.69,3111894.0
2024-01-13,1719.69,1724.69,1717.47,1722.5,2838028.0
2024-01-14,1722.5,1728.12,1715.15,1719.04,4436524.0
2024-01-15,1719.04,1723.41,1712.96,1713.95,3517822.0
2024-01-16,1713.95,1726.61,1710.6,1722.77,4738457.0
2024-01-17,1722.77,1733.75,1721.39,1729.1,2128401.0
2024-01-18,1729.1,1730.7,1725.19,1726.46,5771639.0
2024-01-19,1726.46,1735.24,1722.53,1733.36,3582528.0
2024-01-20,1733.36,1743.66,1731.77,1740.9,2986510.0
2024-02-01,1740.9,1744.02,1737.4,1742.45,5591292.0
2024-02-02,1742.45,1743.76,1735.25,1741.24,4038105.0
2024-02-03,1741.24,1741.52,1734.12,1734.78,4509784.0
2024-02-04,1734.78,1742.78,1734.4,1740.25,3526477.0
2024-02-05,1740.25,1752.36,1734.42,1749.18,5443119.0
2024-02-06,1749.18,1753.51,1737.29,1741.38,4147881.0
2024-02-07,1741.38,1745.22,1737.24,1737.91,3739061.0
2024-02-08,1737.91,1743.64,1732.37,1737.63,3053556.0
2024-02-09,1737.63,1739.21,1732.15,1738.14,5482074.0
2024-02-10,1738.14,1741.97,1731.56,1735.21,2611357.0
2024-02-11,1735.21,1743.41,1730.54,1740.17,4121415.0
2024-02-12,1740.17,1742.12,1732.07,1732.18,5716394.0
2024-02-13,1732.18,1744.11,1730.34,1739.12,2231701.0
2024-02-14,1739.12,1751.73,1738.61,1746.05,3943962.0
2024-02-15,1746.05,1750.61,1734.63,1739.22,2513566.0
2024-02-16,1739.22,1742.6,1737.63,1739.3,5489732.0
2024-02-17,1739.3,1740.57,1735.26,1738.5,4919724.0
2024-02-18,1738.5,1740.37,1727.94,1733.92,4599512.0
2024-02-19,1733.92,1737.02,1732.64,1733.36,2898789.0
2024-02-20,1733.36,1736.89,1729.73,1731.11,2880870.0
2024-03-01,1731.11,1734.9,1722.94,1724.32,5621680.0
2024-03-02,1724.32,1731.36,1722.89,1730.93,4675911.0
2024-03-03,1730.93,1731.73,1720.96,1726.57,4284172.0
2024-03-04,1726.57,1731.32,1721.73,1726.61,2761640.0
2024-03-05,1726.61,1729.2,1717.72,1720.26,3868099.0
2024-03-06,1720.26,1728.69,1714.35,1724.65,2393671.0
2024-03-07,1724.65,1726.69,1718.33,1723.5,2994625.0
2024-03-08,1723.5,1726.19,1716.2,1718.73,3114181.0
2024-03-09,1718.73,1724.27,1712.32,1714.98,5445396.0
2024-03-10,1714.98,1716.64,1708.98,1716.33,5344110.0
2024-03-11,1716.33,1730.36,1711.24,1724.8,2665244.0
2024-03-12,1724.8,1726.34,1722.4,1725.06,2234542.0
2024-03-13,1725.06,1730.97,1721.91,1723.5,5136282.0
2024-03-14,1723.5,1726.04,1717.49,1723.24,5981691.0
2024-03-15,1723.24,1729.0,1722.31,1724.69,3186831.0
2024-03-16,1724.69,1736.63,1721.43,1733.15,4991902.0
2024-03-17,1733.15,1736.66,1723.11,1726.13,5410880.0
2024-03-18,1726.13,1731.89,1720.32,1720.8,2743300.0
2024-03-19,1720.8,1726.97,1719.39,1722.92,2479546.0
2024-03-20,1722.92,1731.53,1719.35,1730.05,4477526.0
